player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Rudy Gay,gayru01,2021,RS,SAS,1238,572,-.7834220840167405,2.498317554014014,1.714895469997273,.0316734411375576,10.8879238991704,10.91959734030796,-.6390352752791839,4.401945901678317,3.762910626399133,1.907969713896769,1.907969713896769,0,-.1569707915881864,2.751979066911491,2.595008275323304,.3878062757966266
Paul George,georgpa01,2021,RS,LAC,1582,768,6.013396570205749,1.848765289011759,7.862161859217509,6.963605133098804,2.943164768490632,9.906769901589437,6.433223965069551,2.179205496017278,8.61242946108683,4.502202603896435,4.502202603896435,0,6.68442600433508,1.919264997794555,8.603691002129635,1.137817834078604
Taj Gibson,gibsota01,2021,RS,NYK,319,153,-2.896791109160731,5.809110419166684,2.912319310005953,.4664603807831237,2.465117105953098,2.931577486736221,-2.385490909804287,5.372574121732957,2.98708321192867,.4465903910205643,.4465903910205643,0,-3.141034200804679,4.07482948002132,.9337952792166404,-.2826177872534297
Harry Giles III,gilesha01,2021,RS,POR,553,260,-3.039122486791755,-1.859172092033564,-4.898294578825318,-4.610982674560658,-1.253259463910648,-5.864242138471306,-3.597580204971277,-1.789950270268996,-5.387530475240273,-.3503675209170097,-.3503675209170097,0,-2.465462789060043,-2.951842032003782,-5.417304821063825,.1429414747490037
Shai Gilgeous-Alexander,gilgesh01,2021,RS,OKC,1778,849,3.910640543025229,-1.282524258751345,2.628116284273884,2.171456546205146,-6.305322231622139,-4.133865685416993,3.90868552430926,-2.420660930154188,1.488024594155072,1.826773695528754,1.826773695528754,0,2.461220315606055,-1.874001253750991,.5872190618550646,-.4947510741657073
Anthony Gill,gillan01,2021,RS,WAS,139,65,-5.096377238242712,-3.298976712929826,-8.395353951172538,-16.90832944799725,.4028360853469125,-16.50549336265034,-7.903345122322434,-2.683575079347994,-10.58692020167043,-.2569341485187235,-.2569341485187235,0,-6.739862610680953,-3.738809718009731,-10.47867232869068,-1.154053713509907
Rudy Gobert,goberru01,2021,RS,UTA,1972,939,-1.647109632208022,7.015809926497211,5.368700294289189,3.698104671297285,6.310079101246709,10.00818377254399,-.7089426042163949,7.239672165581697,6.530729561365303,4.446217514681726,4.446217514681726,0,-.14333293803984,7.529409757759808,7.386076819719968,.0005925336186593
Brandon Goodwin,goodwbr01,2021,RS,ATL,595,285,-2.241936338371177,-1.390517211331403,-3.632453549702581,-4.847483213066808,5.013386501213015,.1659032881462066,-2.941060564802697,-.130723757973772,-3.071784322776469,-.0460433964689821,-.0460433964689821,0,-3.138061317418647,-.9723056049628785,-4.110366922381526,-1.615305972066792
Aaron Gordon,gordoaa01,2021,RS,ORL,1154,552,-1.722520681923341,2.316110288857339,.5935896069339983,.2888594923624596,.9916972773340857,1.280556769696545,-1.303173927862902,2.198675559401219,.8955016315383175,1.030195116419666,1.030195116419666,0,-1.655443891123441,.6164318205841823,-1.039012070539259,.3463312908012106
Eric Gordon,gordoer01,2021,RS,HOU,1441,674,2.006711082439614,-4.259921656534721,-2.253210574095107,2.594112640803884,-3.013244439325999,-.4191317985221152,2.341069010610738,-4.250565418448892,-1.909496407838154,.2901750231407699,.2901750231407699,0,1.262938653378431,-4.922851154523463,-3.659912501145032,.4019055947481168
Devonte' Graham,grahade01,2021,RS,CHA,1723,821,.2269981519859506,.13058041971386,.3575785716998107,.3369496562206121,4.487211094327954,4.824160750548566,.283015060180708,1.058403321883152,1.34141838206386,1.692502721748285,1.692502721748285,0,1.702857371630517,.5410900000895946,2.243947371720112,-1.257905643217844
Jerami Grant,grantje01,2021,RS,DET,2315,1125,2.000089955262209,-.3960386269950508,1.604051328267158,3.643207132660978,2.711412975246703,6.354620107907681,2.552189357497368,.2361310358297588,2.788320393327127,3.186894109283539,3.186894109283539,0,3.549794649473385,.2646730141291821,3.814467663602567,.2560343198448176
Danny Green,greenda02,2021,RS,PHI,1956,917,-1.287312224629336,.9411437713858926,-.3461684532434439,3.843395351649086,-6.095522273912126,-2.252126922263039,-.2843302128953646,-.5043682565608818,-.7886984694562464,.9227718882701738,.9227718882701738,0,.0240629890773631,.4385490778239771,.4626120669013402,.5706305809954368
Draymond Green,greendr01,2021,RS,GSW,1729,797,-.7842190936501746,3.250893494350554,2.466674400700379,6.134569080465448,.2811789009919425,6.41574798145739,.610015828864128,2.790863817549693,3.400879646413821,2.524537623351931,2.524537623351931,0,.5814893554685489,3.367994264762152,3.9494836202307,.947856739386788
JaMychal Green,greenja01,2021,RS,DEN,1060,512,1.541753160805549,-1.64841041327582,-.1066572524702709,.8802141004441075,2.248181281929128,3.128395382373236,1.434778701914667,-.9336762281729369,.5011024737417298,.8518397268193546,.8518397268193546,0,1.552894004947485,-1.380649049376862,.1722449555706229,.3075339361500511
Javonte Green,greenja02,2021,RS,BOS,591,280,-.41126827454227,1.989951038618422,1.578682764076152,-3.247559642424602,-.9268324772847191,-4.174392119709321,-1.042412303811103,1.480187708729115,.4377754049180116,.455804397232566,.455804397232566,0,-.5544307704239317,.6444261764853394,.0899954060614077,.0915238270489912
Jeff Green,greenje02,2021,RS,BRK,1802,848,-.5635151093719559,-2.470510659011764,-3.03402576838372,2.971581147015799,-3.96763274656732,-.9960515995515205,.0777185428550606,-2.896368430450487,-2.818649887595426,-.0295334854257749,-.0295334854257749,0,.6870494181002055,-3.036274499487333,-2.349225081387128,-.5723572422485936
Josh Green,greenjo02,2021,RS,DAL,450,212,-4.138654523377495,-.0039908626362562,-4.142645386013752,-2.996612951768471,1.826080810323656,-1.170532141444815,-4.19198948653981,.4053777655326944,-3.786611721007116,-.1121797725594293,-.1121797725594293,0,-3.664570085488099,-1.365399219010014,-5.029969304498112,.0518104593317018
Blake Griffin,griffbl01,2021,RS,DET,1263,626,-.9167290392380683,.5941825968417854,-.3225464423962828,-2.181056331062737,-1.480544531898869,-3.661600862961606,-1.200938046024855,.2061735794382292,-.994764466586626,.5551982828034913,.5551982828034913,0,-.4705260083997184,.4842534230578209,.0137274146581025,-.975155247099145
Kyle Guy,guyky01,2021,RS,SAC,214,97,2.53452812848392,-2.760254254891644,-.2257261264077233,7.152952887985055,.8706259274607455,8.0235788154458,3.686888113694808,-2.086276087319619,1.600612026375189,.214679112695192,.214679112695192,0,3.534521414199559,-2.814496796453741,.7200246177458176,-.2963583332907395
Rui Hachimura,hachiru01,2021,RS,WAS,1456,666,-1.895555570235739,-1.961315575626653,-3.856871145862393,-.0922073954032519,-3.268793348528178,-3.36100074393143,-1.619010593124608,-2.308353648022307,-3.927364241146915,-.3991473328747882,-.3991473328747882,0,-2.073317726446965,-1.63195641384759,-3.705274140294555,-.2311283251634131
Ashton Hagans,haganas01,2021,RS,MIN,10,4,-13.82946441836101,-1.78844564785499,-15.617910066216,-26.36950615351785,11.75047225924774,-14.61903389427011,-17.23729387597314,.9789623506940959,-16.25833152527904,-.0291807577901356,-.0291807577901356,0,-13.42931163548491,-7.660740627232642,-21.09005226271755,5.925344475411436
Tyrese Haliburton,halibty01,2021,RS,SAC,1851,870,3.488443635452279,-2.096521972589484,1.391921662862795,-1.095525506232128,.3884144960572077,-.7071110101749201,2.765717382735687,-1.646491721137174,1.119225661598513,1.709174841461797,1.709174841461797,0,1.856947025062054,-.8943737666203464,.9625732584417077,-.4878837781101487
